q1,q2,q3,q4,q5,q6
0.660,0.060,1.292,0.523,-1.485,-0.687
0.655,0.061,1.292,0.535,-1.490,-0.684
0.651,0.062,1.292,0.547,-1.495,-0.680
0.647,0.063,1.293,0.558,-1.500,-0.677
0.643,0.064,1.293,0.570,-1.505,-0.673
0.639,0.064,1.293,0.582,-1.510,-0.670
0.634,0.065,1.293,0.594,-1.515,-0.666
0.630,0.066,1.293,0.606,-1.520,-0.662
0.626,0.067,1.293,0.618,-1.525,-0.659
0.622,0.068,1.294,0.630,-1.530,-0.655
0.617,0.069,1.294,0.642,-1.536,-0.652
0.613,0.069,1.294,0.654,-1.541,-0.648
0.609,0.070,1.294,0.666,-1.546,-0.644
0.604,0.071,1.294,0.678,-1.551,-0.641
0.600,0.072,1.294,0.690,-1.556,-0.637
0.596,0.073,1.295,0.702,-1.561,-0.633
0.592,0.074,1.295,0.714,-1.567,-0.630
0.587,0.074,1.295,0.726,-1.572,-0.626
0.583,0.075,1.295,0.738,-1.577,-0.622
0.579,0.076,1.295,0.750,-1.582,-0.619
0.574,0.077,1.295,0.762,-1.587,-0.615
